Date,Time,Time as fraction,Stand,Station,Species,Replication ,Variation,Ambient Humidity,Ambient Temperature,Light Intensity (PAR),Phi2,Height(cm),Diameter(mm),Average Soil Moisture(%VWC),Sap Flow Label,TOMST Label
8/8/19,12:39:00 PM,12.65444444,TO04,TN01,ABAM,1,1,65.476,20.05,26.444,0.64,90,22.4,6.4,SF-NOGAP-SF-01,ABAM 2
8/8/19,12:45:00 PM,12.765,TO04,TN01,ABAM,1,2,64.236,21.34,30.345,0.61,,,,,
8/8/19,1:26:00 PM,13.43444444,TO04,TN01,TSHE,1,1,62.28,22.26,108.896,0.587,92,15.1,20.4,SF-NOGAP-WH-01,TSHE 2
8/8/19,12:53:00 PM,12.89027778,TO04,TN01,TSHE,4,2,64.895,21.91,60.12,0.574,,,,,
8/8/19,12:57:00 PM,12.95083333,TO04,TN01,ABAM,3,1,63.395,22.15,47.646,0.621,74,12.1,13.3,,
8/8/19,1:03:00 PM,13.0525,TO04,TN01,ABAM,3,2,62.81,22.41,41.527,0.621,,,,,
8/8/19,1:05:00 PM,13.08972222,TO04,TN01,TSHE,2,1,62.505,22.49,41.298,0.612,73,24.7,9.8,SF-NOGAP-WH-02,
8/8/19,1:07:00 PM,13.13277778,TO04,TN01,TSHE,2,2,62.166,22.5,43.628,0.629,,,,,
8/8/19,1:11:00 PM,13.18361111,TO04,TN01,ABAM,4,1,62.664,22.42,8.924,0.654,65,11.1,10,,
8/8/19,1:13:00 PM,13.21666667,TO04,TN01,ABAM,4,2,62.743,22.42,8.364,0.604,,,,,
8/8/19,1:16:00 PM,13.27083333,TO04,TN01,TSHE,3,1,62.908,22.47,24.985,0.645,64,13.6,10.8,,
8/8/19,1:18:00 PM,13.30416667,TO04,TN01,TSHE,3,2,62.504,22.48,36.631,0.635,,,,,
8/8/19,1:20:00 PM,13.345,TO04,TN01,ABAM,5,1,62.003,22.46,29.008,0.618,64,13.8,7.5,,
8/8/19,1:22:00 PM,13.375,TO04,TN01,ABAM,5,2,62.409,22.38,20.275,0.591,,,,,
8/8/19,12:50:00 PM,12.83472222,TO04,TN01,TSHE,4,1,63.915,21.7,70.34,0.618,60,20.6,39.8,,
8/8/19,1:27:00 PM,13.465,TO04,TN01,TSHE,1,2,62.787,22.25,73.589,0.617,,,,,
8/8/19,1:31:00 PM,13.52361111,TO04,TN01,ABAM,2,1,62.12,22.17,10.945,0.671,85,22.3,1.8,SF-NOGAP-SF-02,
8/8/19,1:33:00 PM,13.55666667,TO04,TN01,ABAM,2,2,62.312,22.17,7.96,0.647,,,,,
8/8/19,1:37:00 PM,13.62,TO04,TN01,TSHE,5,1,63.417,22.23,142.392,0.518,82,9.5,10.6,,
8/8/19,1:40:00 PM,13.67944444,TO04,TN01,TSHE,5,2,62.732,22.18,29.746,0.136,,,,,
8/8/19,2:28:00 PM,14.48027778,TO04,CN01,ABAM,1,1,65.611,20.29,42.561,0.624,107,28.1,too dry,SF-GAP-SF-01,ABAM 1
