Date,Time,Time as fraction,Stand,Station,Species,Replication ,Variation,Humidity,Temperature,PAR,Phi2,NPQt,PhiNO,PhiNPQ,PS1_Active_Centers,PS1_Open_Centers,PS1_Over_Reduced_Centers,PS1_Oxidized_Centers,Chlorophyll,ECSt,gH+,vH+,Height(cm),Diameter(mm),Average Soil Moisture(%VWC),Sap Flow Label,TOMST Label
8/8/19,1:40:00 PM,13.67944444,TO04,TN01,TSHE,5,2,62.732,22.18,29.746,0.136,18.366,0.045,0.819,-0.909,-0.173,1.29,-0.117,-3.26,0.00006,236.782,0.014,,,,,
8/9/19,12:49:00 PM,12.82527778,AV06,TN01,TSHE,3,1,71.165,17.77,30.268,0.412,3.453,0.132,0.456,-0.672,-0.017,1.076,-0.059,-3.34,-0.00005,3.634,0,90,16,16.4,NA,NA
8/9/19,2:48:00 PM,14.80694444,AV06,CN01,ABAM,5,2,68.768,20.47,56.679,0.461,1.327,0.232,0.307,-3.141,0.105,1.128,-0.234,-2.94,0,-18.431,0,,,,,
8/9/19,2:31:00 PM,14.51861111,AV06,CN01,TSHE,3,2,70.939,20.27,73.775,0.462,2.723,0.144,0.393,-1.812,-0.069,1.063,0.006,-2.72,0.00006,961.692,0.058,,,,,
8/9/19,12:37:00 PM,12.62666667,AV06,TN01,TSHE,2,1,71.62,17.13,23.293,0.504,1.564,0.193,0.303,-0.272,-0.565,1.519,0.045,-3.36,0.00002,-115.437,-0.002,125,25.8,6,SF-NOGAP-WH-02,NA
8/9/19,2:21:00 PM,14.35833333,AV06,CN01,TSHE,2,2,71.853,19.53,103.149,0.514,1.241,0.217,0.269,0.602,0.41,1.052,-0.462,-0.9,-0.00011,108.205,-0.012,,,,,
8/8/19,1:37:00 PM,13.62,TO04,TN01,TSHE,5,1,63.417,22.23,142.392,0.518,0.86,0.259,0.223,3.022,0.67,0.846,-0.517,1.5,0.00216,6.189,0.013,82,9.5,10.6,NA,NA
8/9/19,2:01:00 PM,14.02666667,AV06,CN01,TSHE,5,1,74.573,17.51,131.698,0.538,1.292,0.201,0.26,-0.008,-21.942,16.232,6.71,-2.5,0.00007,455.645,0.032,108,17.1,15.1,NA,NA
8/9/19,2:28:00 PM,14.48305556,AV06,CN01,TSHE,3,1,72.055,20.09,86.589,0.55,1.288,0.197,0.253,-0.02,11.362,-32.019,21.657,-2.28,0.00005,574.743,0.029,104,13,14.6,NA,NA
8/9/19,2:53:00 PM,14.88972222,AV06,CN01,TSHE,4,2,69.126,20.47,48.676,0.553,1.089,0.214,0.233,-0.72,0.487,-0.408,0.921,-1.95,0.00004,155.107,0.006,,,,,
8/9/19,12:43:00 PM,12.72,AV06,TN01,ABAM,2,1,71.5,17.43,13.325,0.561,0.995,0.22,0.219,-15.151,0.049,1.168,-0.216,-3.34,0.00007,211.973,0.015,84,24.3,5.8,NA,NA
8/8/19,2:56:00 PM,14.94333333,TO04,CN01,TSHE,5,2,56.493,24.99,77.255,0.562,0.523,0.287,0.15,2.281,0.74,0.395,-0.135,31.54,0.00035,76.158,0.027,,,,,
8/9/19,2:40:00 PM,14.67444444,AV06,CN01,TSHE,1,1,69.629,20.38,35.6,0.566,1.008,0.216,0.218,-0.338,-0.163,1.566,-0.403,-3.19,0.00006,-19.247,-0.001,110,16.9,6.9,SF-GAP-WH-01,TSHE 1
8/9/19,2:24:00 PM,14.40416667,AV06,CN01,ABAM,3,1,71.969,19.69,83.617,0.568,0.744,0.248,0.184,-1.383,0.011,1.6,-0.611,3.26,0.00005,555.009,0.028,71,15,15,NA,NA
8/9/19,2:15:00 PM,14.26222222,AV06,CN01,TSHE,2,1,72.297,19.36,67.149,0.571,0.713,0.25,0.179,1.427,0.359,0.747,-0.105,-0.55,0.0025,0.561,0.001,105,18.3,11.9,SF-GAP-WH-02,NA
8/9/19,2:51:00 PM,14.85194444,AV06,CN01,TSHE,4,1,69.31,20.42,61.832,0.572,0.989,0.215,0.213,1.244,0.241,0.838,-0.079,2.06,0.00005,261.501,0.013,112,19.9,7,NA,NA
8/9/19,12:17:00 PM,12.29222222,AV06,TN01,ABAM,1,1,68.604,14.63,32.69,0.573,0.338,0.319,0.108,1.216,-0.309,-0.145,1.454,6.16,0.00004,209.361,0.008,80,25.4,6.9,SF-NOGAP-SF-01,ABAM 2
8/9/19,12:39:00 PM,12.66166667,AV06,TN01,TSHE,2,2,72.177,17.34,29.21,0.573,0.474,0.29,0.137,-0.39,0.271,1.912,-1.183,1.14,0.00004,151.544,0.006,,,,,
8/8/19,12:53:00 PM,12.89027778,TO04,TN01,TSHE,4,2,64.895,21.91,60.12,0.574,0.849,0.231,0.196,-1.549,-0.303,2.216,-0.913,0.25,-0.00006,319.613,-0.019,,,,,
8/9/19,2:26:00 PM,14.43972222,AV06,CN01,ABAM,3,2,71.522,19.85,85.429,0.577,0.599,0.265,0.158,13.802,0.118,0.917,-0.034,17.06,0.00005,180.803,0.009,,,,,
8/9/19,1:13:00 PM,13.21944444,AV06,TN01,TSHE,5,1,71.862,18.08,28.911,0.578,0.873,0.225,0.197,-0.661,0.151,0.763,0.085,-1.45,-0.00001,-86.914,0.001,119,23.6,7.2,NA,NA
8/9/19,2:46:00 PM,14.77138889,AV06,CN01,ABAM,5,1,69.285,20.47,57.583,0.583,0.681,0.248,0.169,0.06,-3.096,3.001,1.095,-2.37,null,null,null,94,28.2,5,NA,NA
8/8/19,1:26:00 PM,13.43444444,TO04,TN01,TSHE,1,1,62.28,22.26,108.896,0.587,0.372,0.301,0.112,-4.388,-0.049,1.046,0.003,-0.79,-0.00004,-27.282,0.001,92,15.1,20.4,SF-NOGAP-WH-01,TSHE 2
8/8/19,1:22:00 PM,13.375,TO04,TN01,ABAM,5,2,62.409,22.38,20.275,0.591,0.901,0.215,0.194,0.992,0.849,5.706,-5.555,15.02,0.00004,611.165,0.024,,,,,
8/9/19,12:31:00 PM,12.52333333,AV06,TN01,TSHE,1,2,72.771,16.68,19.321,0.594,0.742,0.233,0.173,-0.332,-0.393,1.28,0.113,-1.62,0.00007,-58.219,-0.004,,,,,
8/9/19,2:03:00 PM,14.06388889,AV06,CN01,TSHE,5,2,74.972,17.94,32.451,0.594,0.447,0.281,0.126,1.657,0.499,0.601,-0.1,3.83,0.00009,39.143,0.004,,,,,
8/9/19,12:29:00 PM,12.49166667,AV06,TN01,TSHE,1,1,71.911,16.47,16.743,0.595,0.491,0.272,0.133,1.092,-0.056,1.017,0.039,6.66,0.00001,194.617,0.002,105,18.5,1.1,SF-NOGAP-WH-01,TSHE 2
8/9/19,1:02:00 PM,13.03805556,AV06,TN01,TSHE,4,1,70.96,17.82,22.112,0.595,0.548,0.262,0.143,1.099,0.814,0.669,-0.483,3.2,3.53092,0,0,120,19.9,2.1,NA,NA
8/9/19,1:04:00 PM,13.0775,AV06,TN01,TSHE,4,2,71.437,17.93,24.15,0.596,0.617,0.25,0.154,-10.887,-0.012,1.025,-0.013,3.68,0,-26.177,0,,,,,
8/8/19,2:54:00 PM,14.90611111,TO04,CN01,TSHE,5,1,57.379,25.07,45.225,0.603,0.285,0.309,0.088,0.6,0.512,0.232,0.256,9.66,-0.00003,-353.263,0.011,95,13.3,22,NA,NA
8/8/19,1:13:00 PM,13.21666667,TO04,TN01,ABAM,4,2,62.743,22.42,8.364,0.604,0.499,0.264,0.132,1.061,0.211,0.818,-0.029,7.2,-0.00002,-3476.323,0.07,,,,,
8/9/19,12:59:00 PM,12.98527778,AV06,TN01,ABAM,4,2,70.416,17.78,22.598,0.604,0.496,0.265,0.131,0.999,-0.523,2.235,-0.712,6.53,0.00002,372.74,0.007,,,,,
8/8/19,3:20:00 PM,15.34388889,TO04,CN01,ABAM,3,2,58.057,23.22,28.582,0.607,0.405,0.279,0.113,1.157,1.106,-0.339,0.233,11.19,0,-110.755,0,,,,,
8/9/19,1:15:00 PM,13.25472222,AV06,TN01,TSHE,5,2,70.964,18.13,22.695,0.607,0.488,0.264,0.129,0.945,0.304,0.347,0.349,4.22,0.00004,552.299,0.022,,,,,
8/9/19,2:11:00 PM,14.19111111,AV06,CN01,ABAM,4,1,74.256,19.01,19.568,0.608,0.453,0.27,0.122,1.237,0.563,0.354,0.083,9.18,0,-4544.546,0,72,28.5,2.1,NA,NA
8/8/19,2:51:00 PM,14.85194444,TO04,CN01,ABAM,4,2,57.863,24.95,48.906,0.609,0.596,0.245,0.146,0.681,1.271,0.307,-0.578,2.98,0.00003,201.816,0.006,,,,,
8/8/19,12:45:00 PM,12.765,TO04,TN01,ABAM,1,2,64.236,21.34,30.345,0.61,0.405,0.278,0.112,-3.375,-0.203,2.197,-0.994,4.51,-0.00001,395.904,-0.004,,,,,
8/8/19,2:59:00 PM,14.98944444,TO04,CN01,ABAM,5,1,56.587,24.65,25.963,0.61,0.822,0.214,0.176,3.725,0.008,0.793,0.199,1.78,0.00001,-203.68,-0.002,91,13.9,9.3,NA,NA
8/8/19,1:05:00 PM,13.08972222,TO04,TN01,TSHE,2,1,62.505,22.49,41.298,0.612,0.385,0.28,0.108,0.956,-4.697,-1.032,6.729,3.99,0.00002,-26.383,-0.001,73,24.7,9.8,SF-NOGAP-WH-02,NA
8/8/19,2:48:00 PM,14.81527778,TO04,CN01,ABAM,4,1,57.913,24.81,43.871,0.612,0.304,0.297,0.09,0.974,0.674,0.369,-0.042,7.29,4.66196,0,0,85,15.7,12.9,NA,NA
8/9/19,2:42:00 PM,14.71472222,AV06,CN01,TSHE,1,2,69.325,20.45,29.361,0.612,0.658,0.234,0.154,0.153,1.706,2.024,-2.73,6.25,0.00004,479.925,0.019,,,,,
8/9/19,12:33:00 PM,12.55833333,AV06,TN01,ABAM,3,1,71.496,16.86,44.511,0.615,0.331,0.29,0.096,3.075,0.446,0.674,-0.12,9.68,0.0115,0.149,0.002,93,24.4,14,NA,NA
8/9/19,12:51:00 PM,12.85972222,AV06,TN01,TSHE,3,2,72.336,17.9,12.271,0.615,0.422,0.27,0.114,14.015,0.128,1.388,-0.516,9.53,0.00007,797.432,0.056,,,,,
8/9/19,2:36:00 PM,14.61055556,AV06,CN01,ABAM,1,2,70.331,20.35,41.656,0.615,0.47,0.262,0.123,15.646,0.133,1.066,-0.198,5.72,0.00002,-186.816,-0.004,,,,,
8/9/19,12:35:00 PM,12.58666667,AV06,TN01,ABAM,3,2,70.812,16.98,51.065,0.616,0.334,0.288,0.096,-1.242,-1.626,2.837,-0.212,1.88,-0.00001,334.738,-0.003,,,,,
8/9/19,2:56:00 PM,14.93527778,AV06,CN01,ABAM,2,1,67.844,20.47,42.996,0.616,0.702,0.226,0.158,6.581,-0.048,1.124,-0.076,-0.58,0,-6.352,0,110,30.1,8.4,SF-GAP-SF-02,NA
8/8/19,1:27:00 PM,13.465,TO04,TN01,TSHE,1,2,62.787,22.25,73.589,0.617,0.476,0.259,0.124,18.952,-0.021,1.043,-0.021,6.15,0.00007,357.657,0.025,,,,,
8/8/19,2:46:00 PM,14.77305556,TO04,CN01,TSHE,3,2,60.28,24.6,53.715,0.617,0.503,0.255,0.128,-1.918,-0.374,1.106,0.269,0.38,0.00007,-13624.017,-0.954,,,,,
8/8/19,1:20:00 PM,13.345,TO04,TN01,ABAM,5,1,62.003,22.46,29.008,0.618,0.627,0.235,0.147,1.112,0.081,0.679,0.24,12.24,0.00013,216.036,0.028,64,13.8,7.5,NA,NA
